Job Title,Company,Location,Salary Range,Date Posted,Application Link,Why It Matches,Pull Date
Senior Data Scientist - Experimentation,Robinhood,New York NY,$187k–$220k,Nov 2024,https://boards.greenhouse.io/robinhood/jobs/6357659,Dedicated experimentation platform role focused on A/B testing methodology and causal inference.,2026-04-06
Data Scientist - Product Analytics,Meta,New York NY,Not listed,Active 2026,https://www.metacareers.com/jobs/435020605866341,Requires quantitative analysis experimentation and product metric measurement.,2026-04-06
Data Scientist (Experimentation & Product Analytics),Meta,New York NY,Not listed,Feb 2026,https://www.metacareers.com/jobs/847885604559311,Centers on A/B testing causal inference and product growth — strong direct match.,2026-04-06
Senior Data Scientist,Duolingo,"New York NY / Pittsburgh PA","$145k–$294k",Active 2026,https://job-boards.greenhouse.io/duolingo/jobs/7607484002,300+ simultaneous experiments; experimentation-driven product analytics.,2026-04-06
Senior Data Scientist - Rider New Products,Lyft,New York NY,$148k–$185k + equity,Jan 2026,https://boards.greenhouse.io/lyft/jobs/8355960002,Causal inference and incrementality measurement for new rider features.,2026-04-06
Senior Data Scientist - Brokerage,Robinhood,New York NY,$187k–$220k,Active 2026,https://www.builtinnyc.com/job/senior-data-scientist-brokerage/4477485,A/B experiment design causal inference and product performance metrics.,2026-04-06
Staff Data Scientist,Stripe,New York NY / Remote,$226k–$339k,Active 2026,https://stripe.com/jobs/listing/staff-data-scientist/7568328,Experimentation forecasting causal inference across Stripe's payments ecosystem.,2026-04-06
Data Scientist,Stripe,New York NY / Remote,$139k–$262k,Active 2026,https://stripe.com/jobs/listing/data-scientist/5601879,Causal inference and experimentation across product and go-to-market teams.,2026-04-06
Product Data Scientist,Klaviyo,Boston MA,$112k–$168k,Active 2026,https://www.klaviyo.com/careers/jobs/7517902003,A/B test design and analysis translating experimental results into product strategy.,2026-04-06
Senior Product Data Scientist,Klaviyo,Boston MA,Not listed,Active 2026,https://www.klaviyo.com/careers/jobs/6672089003,Senior experimentation and product analytics with A/B testing and causal methods.,2026-04-06
Senior Data Scientist - Advertising,Spotify,New York NY,Not listed,Active 2026,https://jobs.lever.co/spotify/0fef3f60-ac69-4763-aa4b-bd01d1511f7c,Bayesian and sequential A/B testing for Spotify Ads optimization.,2026-04-06
Senior Data Scientist - Spotify Advertising,Spotify,New York NY,Not listed,Active 2026,https://jobs.lever.co/spotify/345c2668-685d-412d-a910-9fe63a911a64,Bayesian methods experimentation and causal inference for advertising measurement.,2026-04-06
Senior Data Scientist - Market Science,Microsoft,New York NY,$131k–$258k,Jun 2025,https://jobs.careers.microsoft.com/global/en/job/1827385,A/B tests quasi-experiments and causal inference for advertising measurement.,2026-04-06
Sr. Applied Scientist - Experimentation & Causal Inference,DoorDash,San Francisco CA / Seattle WA / New York NY,$160k–$235k,Active 2026,https://job-boards.greenhouse.io/doordashusa/jobs/6430881,Builds the experimentation platform and causal inference methodology for thousands of experiments per month.,2026-04-06
Data Scientist / Senior Data Scientist,DoorDash,San Francisco CA / New York NY / Seattle WA,$124k–$271k,Jul 2024,https://job-boards.greenhouse.io/doordashusa/jobs/6103225,Full-cycle A/B testing SQL/Python and product experimentation across marketplace.,2026-04-06
Data Scientist - Marketing,Anthropic,San Francisco CA,$275k–$370k,Mar 2026,https://job-boards.greenhouse.io/anthropic/jobs/5161402008,Causal inference experimental design and measurement for AI product marketing.,2026-04-06
Staff Data Scientist - Experimentation,Instacart,Remote (San Francisco CA),Not listed,Active 2026,https://www.instacart.careers/current-openings,Develops statistical methodologies for Instacart's entire experimentation platform.,2026-04-06
Senior Data Scientist - Rider New Products,Lyft,San Francisco CA,$148k–$185k + equity,Jan 2026,https://boards.greenhouse.io/lyft/jobs/8355960002,Causal inference and incrementality for new product evaluation.,2026-04-06
Staff Data Scientist - Causal Inference,Airbnb,San Francisco CA,Not listed,Active 2026,https://careers.airbnb.com/positions/7360248/,Causal ML measurement and experimentation on Airbnb's Customer Journey team.,2026-04-06
Staff Data Scientist - Experimentation Platform,Airbnb,San Francisco CA,Not listed,Active 2026,https://careers.airbnb.com/positions/6391342/,Owns next-gen causal measurement methods for Airbnb's experimentation platform.,2026-04-06
Data Scientist - Product,OpenAI,San Francisco CA,Not listed,Active 2026,https://openai.com/careers/data-scientist-product/,Designs and runs rigorous A/B tests across OpenAI consumer products.,2026-04-06
Data Scientist - Platform & B2B Products,OpenAI,San Francisco CA,Not listed,Active 2026,https://openai.com/careers/data-scientist-platform-and-b2b-products-san-francisco/,Experiment design for AI agents and measurement frameworks for enterprise.,2026-04-06
Principal Data Scientist,Databricks,Remote (San Francisco CA),Not listed,Active 2026,https://www.databricks.com/company/careers/open-positions,Experimentation causal inference forecasting and ML at scale.,2026-04-06
Data Scientist - Search Experiments,Google,Mountain View CA / New York NY,Not listed,Active 2026,https://www.google.com/about/careers/applications/jobs/results/101033997668098758,Directly supports Search experimentation infrastructure and methodology.,2026-04-06
Senior Data Scientist - Google Pay,Google,New York NY / Mountain View CA,Not listed,Active 2026,https://www.google.com/about/careers/applications/jobs/results/73835978350830278,Experiment design and product analytics for Google Pay.,2026-04-06
Senior Data Scientist - Sponsored Products,Amazon,Arlington VA,Not listed,Active 2026,https://www.amazon.jobs/en/jobs/2404131/senior-data-scientist-sponsored-products,Designs and analyzes A/B experiments on Amazon's ads platform.,2026-04-06
